Unnamed: 0,text,rating,category,product_name,product_id,sold,shop_id,product_url
40341,Packing nya rapih dan cepat,5,olahraga,Dekker / Deker Knee LP 631 Knee wrap deker lutut knee support,203303146,33,162561,https://www.tokopedia.com/warungolahraga/dekker-deker-knee-lp-631-knee-wrap-deker-lutut-knee-support
38065,"terima kasih,, barang telah diterima,,",5,olahraga,Alat selam / Alat Snorkling Masker dan snorkle Seal Original 7092,10425920,131,162561,https://www.tokopedia.com/warungolahraga/alat-selam-alat-snorkling-masker-dan-snorkle-seal-original-7092
7675,Barang bagus sesuai di gambar....,5,handphone,Headset Bluetooth Mini S530 - Micro Sport Stereo Bluetooth Earphone,55299234,"4,4rb",113813,https://www.tokopedia.com/handphonetiam/headset-bluetooth-mini-s530-micro-sport-stereo-bluetooth-earphone
32362,"fast respon, nice seller and product",5,elektronik,CATRIDGE CANON PG 47 BLACK ORIGINAL 100%,158529427,214,1884654,https://www.tokopedia.com/sjkomputer/catridge-canon-pg-47-black-original-100
744,makasih brng sdh aku trima dngn selamat...,5,pertukangan,staples tembak HOMASTER / steples tembak / staple gun BONUS ISI 600pcs,89084141,363,1102298,https://www.tokopedia.com/cahayabelawa/staples-tembak-homaster-steples-tembak-staple-gun-bonus-isi-600pcs
13004,"Lumayan buat gantungan kunci motor, bahannya berkualitas...",5,fashion,BRODO - Aksesoris Pria Teady Lanyard Navy,420415756,22,2126488,https://www.tokopedia.com/brodo/brodo-aksesoris-pria-teady-lanyard-navy
39308,Barangnya baguuus punyaaaa maaaaaaa,5,olahraga,Champion Headguard Pelindung Kepala Taekwondo Karate,32656370,15,162561,https://www.tokopedia.com/warungolahraga/champion-headguard-pelindung-kepala-taekwondo-karate
1799,ALHAMDULILLAH...pesanan saya sdh sampai....mannnttttaaapppp...fast respond..pokoknya recomended seller lah....,4,pertukangan,Staple Gun 3 Way Homaster Heavy Duty / Staples Tembak,19337557,417,580197,https://www.tokopedia.com/hmhhardware/staple-gun-3-way-homaster-heavy-duty-staples-tembak
33580,sesuai.......bagus.........tks,5,olahraga,Celana Panjang Jogger Bahan Parasut/Despo,29165903,600,360782,https://www.tokopedia.com/celanaolahraga/celana-panjang-jogger-bahan-parasutdespo
36618,Barang sudah diterima dengan baik,5,olahraga,Decker / Dekker / Deker Siku LP 668 Elbow Long,5163185,42,162561,https://www.tokopedia.com/warungolahraga/decker-dekker-deker-siku-lp-668-elbow-long
9930,"Barang sudah diterima, belum dicek. Respon cepat. Recommended Seller",5,handphone,U604ZZ U Groove Pulley Bearings 4*13*4mm Walking Guide Rail AI78,339534385,7,715011,https://www.tokopedia.com/hpasesoris/u604zz-u-groove-pulley-bearings-4-13-4mm-walking-guide-rail-ai78
13413,Good product thankyou...............,5,fashion,Sepatu Bayi Laki-laki Tamagoo-Marc Navy Baby Shoes Prewalker Murah - 0-3 Bulan,267679975,64,595824,https://www.tokopedia.com/tamagoo/sepatu-bayi-laki-laki-tamagoo-marc-navy-baby-shoes-prewalker-murah-0-3-bulan
39147,barang diterima sesuai spec... terima kasih,4,olahraga,Athlete Decker/Dekker/Deker Lutut Closed Patela,32210443,144,162561,https://www.tokopedia.com/warungolahraga/athlete-deckerdekkerdeker-lutut-closed-patela
10553,Mantaaaaaaaaaaaaaaap,5,fashion,"Ramayana - Bra Lecra Kawat busa Polos Katun &#40;07972666&#41; - Abu -abu Tua, 32",309734958,62,1406327,https://www.tokopedia.com/ramayana/ramayana-bra-lecra-kawat-busa-polos-katun-07972666-abu-abu-tua-32
